"sale_date","product_unit_sales","discount_amount (Rs.)","mrp_amount (Rs.)","product"
"4/4/2018","407","11837.63","750293","shirt"
"5/4/2018","572","11371.74","1069128","shirt"
"9/6/2018","331","14180.94","596181","shirt"
"1/13/2019","2259","1670703.39","4343041","shirt"
"1/22/2019","677","393700.81","1270453","shirt"
"1/1/2019","799","429561.5","1515901","shirt"
"2/3/2019","2053","1583507.44","3931747","shirt"
"1/26/2019","2746","2213759","5266837","shirt"
"3/26/2019","336","85165.24","630864","shirt"
"8/12/2018","1548","960450.54","3036325","shirt"
"10/1/2018","396","132345.38","729266","shirt"
"7/7/2018","2304","1776427.41","4498977","shirt"
"6/3/2018","1017","236272.11","1935785","shirt"
"1/11/2018","764","444617.95","1510586","shirt"
"7/16/2018","957","755675.14","1865839","shirt"
"1/21/2018","2140","1684005.17","4229860","shirt"
"6/21/2018","860","502786.84","1696370","shirt"
"11/14/2018","485","133940.22","906391","shirt"
"1/16/2018","558","286290.68","1082172","shirt"
"7/17/2018","942","744148.5","1842475","shirt"
"4/30/2018","830","253246.53","1560570","shirt"
"12/11/2018","635","116645.04","1173081","shirt"
"11/26/2018","380","58180.79","708892","shirt"
"4/19/2018","564","16729.54","1055066","shirt"
"5/21/2018","440","78935.31","830362","shirt"
"10/11/2018","562","149457.14","1045799","shirt"
"3/16/2019","662","179524.53","1237238","shirt"
"3/1/2019","363","35142.48","667537","shirt"
"3/30/2019","655","204208.21","1230845","shirt"
"1/28/2018","2313","1801951.16","4555739","shirt"
"1/12/2018","1633","1234418.1","3252017","shirt"
"5/29/2018","460","115876.49","874041","shirt"
"6/28/2018","894","516358.25","1751021","shirt"
"11/17/2018","801","212546.51","1510721","shirt"
"2/17/2018","572","20718.46","1028928","shirt"
"3/31/2018","984","179703.98","1826767","shirt"
"12/24/2018","3153","2486673.66","6030910","shirt"
"8/16/2018","454","236512.62","877427","shirt"
"9/24/2018","260","53946.45","469402","shirt"
"4/28/2018","1179","347815.31","2207123","shirt"
"7/8/2018","4218","3395932.17","8228982","shirt"
"7/19/2018","948","723486.77","1859744","shirt"
"10/17/2018","649","186098.59","1203824","shirt"
"4/20/2018","587","15621.6","1098413","shirt"
"12/9/2018","1342","249966.52","2487313","shirt"
"11/23/2018","631","145701.53","1171669","shirt"
"1/22/2018","839","600854.7","1638461","shirt"
"4/27/2018","856","210206.16","1609344","shirt"
"12/31/2018","873","452073.65","1655407","shirt"
"6/26/2018","781","456908.16","1528752","shirt"
"4/5/2018","397","7856.46","727703","shirt"
"4/18/2018","695","14258.28","1276955","shirt"
"9/26/2018","351","98601.85","636349","shirt"
"9/12/2018","329","19719.55","603059","shirt"
"3/27/2018","379","13497.09","698221","shirt"
"12/3/2018","436","68149.12","801933","shirt"
"3/13/2018","249","10396.61","452351","shirt"
"3/6/2018","344","14849.57","626917","shirt"
"2/21/2019","353","21655.81","634677","shirt"
"1/5/2019","1009","557440.93","1913791","shirt"
"3/31/2019","833","232886.73","1587567","shirt"
"2/7/2019","438","140923.47","821762","shirt"
"2/23/2019","521","47072.93","943279","shirt"
"2/10/2019","723","276767.43","1349377","shirt"
"11/5/2018","1939","597167.81","3690303","shirt"
"8/11/2018","1169","713214.97","2304334","shirt"
"6/30/2018","1448","837414.35","2836114","shirt"
"5/2/2018","422","9884.84","783478","shirt"
"1/6/2018","1352","812574.45","2638848","shirt"
"5/17/2018","424","79014.36","787637","shirt"
"4/10/2018","528","30229.6","984702","shirt"
"11/10/2018","1059","321487.7","1995441","shirt"
"11/2/2018","1130","350842.22","2137979","shirt"
"3/29/2018","631","91819.71","1148369","shirt"
"9/4/2018","337","15612.25","607548","shirt"
"8/23/2018","481","31679.39","891999","shirt"
"10/27/2018","1086","341437.49","2047559","shirt"
"7/3/2018","771","429211.98","1504374","shirt"
"6/1/2018","491","110507.03","944010","shirt"
"4/11/2018","552","19477.61","1024948","shirt"
"2/19/2018","318","14684.23","570982","shirt"
"3/20/2018","288","7170.95","530012","shirt"
"9/19/2018","306","25638.78","555994","shirt"
"1/15/2019","1012","702892.29","1940369","shirt"
"2/9/2019","692","250018.18","1280708","shirt"
"2/16/2019","608","177052.59","1107192","shirt"
"3/4/2019","397","83539.84","746503","shirt"
"3/10/2019","658","158158.73","1230242","shirt"
"1/3/2019","579","323939.49","1095002","shirt"
"2/11/2019","326","62170.21","603174","shirt"
"3/3/2018","683","16556.45","1239617","shirt"
"11/15/2018","478","126007.86","897460","shirt"
"10/28/2018","1681","533801.36","3179619","shirt"
"4/8/2018","1075","58709.03","2000725","shirt"
"5/1/2018","1075","321624.33","2024425","shirt"
"12/20/2018","2759","2183990.75","5282899","shirt"
"8/4/2018","1048","710960.68","2061535","shirt"
"3/24/2018","632","19368.3","1155368","shirt"
"12/19/2018","2408","1954169.07","4622235","shirt"
"1/7/2018","1813","1101248.08","3575767","shirt"
"8/28/2018","333","17930.84","608793","shirt"
"11/6/2018","1695","506598.4","3211320","shirt"
"9/22/2018","641","150710.78","1182459","shirt"
"5/14/2018","332","13574.61","616068","shirt"
"8/15/2018","1528","973284.22","3028666","shirt"
"12/28/2018","722","380527.49","1375578","shirt"
"5/15/2018","291","18147.64","550809","shirt"
"4/25/2018","621","15422.06","1157000","shirt"
"2/16/2018","385","15723.07","685915","shirt"
"7/13/2018","881","599159.15","1713800","shirt"
"4/23/2018","595","16024.16","1101505","shirt"
"11/16/2018","596","152883.72","1116504","shirt"
"2/8/2018","342","24596.51","592908","shirt"
"1/31/2019","811","604470.79","1543089","shirt"
"1/18/2019","1112","796889.05","2127288","shirt"
"3/25/2019","328","90301.93","623572","shirt"
"1/9/2019","634","330484.54","1204366","shirt"
"3/19/2019","418","120655.53","781782","shirt"
"1/29/2019","721","519803.62","1371979","shirt"
"9/8/2018","590","36062.14","1075610","shirt"
"7/14/2018","2197","1712006.75","4247636","shirt"
"12/25/2018","4465","3656450.59","8553035","shirt"
"6/18/2018","1947","1574275.58","3823396","shirt"
"6/6/2018","562","184161.11","1069100","shirt"
"1/31/2018","726","501912.6","1420925","shirt"
"6/7/2018","522","131492.62","1006678","shirt"
"5/24/2018","509","95225.12","969991","shirt"
"5/27/2018","972","234053.87","1852079","shirt"
"11/20/2018","460","104471.89","859740","shirt"
"10/2/2018","862","246019.94","1576568","shirt"
"8/17/2018","671","370100.58","1306532","shirt"
"9/2/2018","619","16019.55","1117403","shirt"
"3/4/2018","711","17285.5","1289489","shirt"
"3/5/2018","346","13932.5","617655","shirt"
"2/22/2018","375","10105.17","674425","shirt"
"3/18/2018","739","20379.34","1362661","shirt"
"9/17/2018","298","22936.62","543331","shirt"
"5/11/2018","451","9960.55","839849","shirt"
"3/13/2019","295","88230.85","542605","shirt"
"2/2/2019","1356","1019345.58","2600544","shirt"
"11/24/2018","875","211255.63","1639929","shirt"
"2/7/2018","264","22634.21","466036","shirt"
"2/24/2018","584","29803.27","1063016","shirt"
"11/13/2018","526","138820.38","987674","shirt"
"3/14/2018","340","18166.51","617321","shirt"
"5/26/2018","857","179022.36","1625543","shirt"
"7/22/2018","3149","2549552.52","6179272","shirt"
"10/21/2018","1152","339775.02","2163806","shirt"
"3/28/2018","417","50891.6","766244","shirt"
"7/31/2018","815","632734.29","1624015","shirt"
"10/24/2018","527","143466.43","987507","shirt"
"7/30/2018","738","597759.48","1468726","shirt"
"3/7/2018","400","14179.65","743460","shirt"
"10/5/2018","442","127437.14","803039","shirt"
"11/8/2018","1065","324129.73","2001341","shirt"
"3/12/2018","332","16081.66","616868","shirt"
"4/6/2018","481","20131.83","891219","shirt"
"10/29/2018","621","194968.73","1181295","shirt"
"9/5/2018","328","19546.08","596872","shirt"
"5/3/2018","546","10327.48","1029154","shirt"
"2/13/2018","491","133966.55","890109","shirt"
"1/30/2018","792","554100.47","1552496","shirt"
"3/26/2018","365","16760.75","664218","shirt"
"3/23/2018","325","6122.4","591375","shirt"
"6/29/2018","922","516706.88","1814008","shirt"
"9/25/2018","288","68867.42","519524","shirt"
"2/1/2019","790","580753.77","1503510","shirt"
"2/24/2019","510","32938.06","935790","shirt"
"1/25/2019","1174","863241.86","2221407","shirt"
"2/25/2019","263","10294.06","480437","shirt"
"3/28/2019","365","88201.99","693435","shirt"
"2/12/2019","309","58099.72","563491","shirt"
"1/27/2018","1809","1407132.91","3590263","shirt"
"2/3/2018","1443","1000056.69","2804707","shirt"
"12/23/2018","5293","4306187.26","10128907","shirt"
"12/15/2018","720","144302.5","1346881","shirt"
"4/3/2018","375","14626.8","694025","shirt"
"12/6/2018","572","94936.2","1057244","shirt"
"7/20/2018","1251","984454.24","2448785","shirt"
"9/9/2018","783","43845.12","1439117","shirt"
"10/30/2018","664","218278.24","1264238","shirt"
"10/18/2018","790","231509.11","1464249","shirt"
"10/25/2018","555","155326.42","1043645","shirt"
"10/20/2018","935","269648.67","1730018","shirt"
"2/15/2018","306","10886.14","547324","shirt"
"1/8/2018","663","366664.45","1295437","shirt"
"2/26/2018","316","17814.65","574084","shirt"
"1/20/2018","1502","1150055.64","2950528","shirt"
"1/19/2018","1050","810031.44","2064850","shirt"
"5/9/2018","488","17701.22","922693","shirt"
"6/5/2018","463","114242.36","889667","shirt"
"10/13/2018","1037","304508.3","1923785","shirt"
"1/4/2018","601","335049.04","1176949","shirt"
"8/29/2018","332","17262.67","595868","shirt"
"8/24/2018","477","50346.27","889923","shirt"
"10/26/2018","627","184531.42","1184724","shirt"
"4/22/2018","1170","24342.6","2184680","shirt"
"8/19/2018","1300","701360.12","2546298","shirt"
"10/12/2018","592","158435.48","1089984","shirt"
"2/28/2018","425","20048.44","769075","shirt"
"1/12/2019","1845","1331807.51","3554855","shirt"
"1/20/2019","3112","2466633.65","5976469","shirt"
"1/4/2019","649","337655.43","1230632","shirt"
"1/30/2019","832","625823.91","1579268","shirt"
"3/6/2019","389","165304.34","714792","shirt"
"2/22/2019","341","45074.59","633759","shirt"
"2/8/2019","460","161312.94","852040","shirt"
"3/20/2019","412","98351.18","765188","shirt"
"3/7/2019","393","96704.24","726407","shirt"
"6/19/2018","3931","3399606.16","7756821","shirt"
"10/3/2018","348","78180.62","638453","shirt"
"5/6/2018","889","23424.86","1656911","shirt"
"4/15/2018","1246","56486.08","2314584","shirt"
"8/14/2018","737","417135.73","1432963","shirt"
"2/9/2018","324","23047.53","573376","shirt"
"9/7/2018","351","22052.94","632435","shirt"
"8/20/2018","396","27822.64","730652","shirt"
"9/13/2018","395","24023.82","715005","shirt"
"7/25/2018","1092","899682.6","2152208","shirt"
"2/23/2018","387","14428.12","692613","shirt"
"8/26/2018","614","39440.01","1124686","shirt"
"8/6/2018","521","334963.06","1028161","shirt"
"3/22/2018","381","15312.53","695321","shirt"
"10/22/2018","441","121504.07","824717","shirt"
"9/29/2018","566","163747.2","1031675","shirt"
"8/8/2018","515","351860.56","1009377","shirt"
"12/12/2018","634","107448.3","1184311","shirt"
"8/22/2018","587","49465.36","1096175","shirt"
"5/5/2018","645","11496.4","1204655","shirt"
"3/19/2018","287","11226.08","518113","shirt"
"9/3/2018","436","20242.94","797394","shirt"
"9/14/2018","351","21896.37","643849","shirt"
"7/10/2018","630","338414.87","1223151","shirt"
"4/26/2018","623","15533.11","1172007","shirt"
"1/24/2018","1092","739896.45","2067108","shirt"
"4/21/2018","846","34461.6","1574954","shirt"
"2/5/2018","292","11665.25","510508","shirt"
"1/14/2019","1177","797306.89","2255223","shirt"
"3/2/2019","495","91119.05","933705","shirt"
"3/21/2019","323","90277.36","600377","shirt"
"3/17/2019","863","256006.04","1613237","shirt"
"8/19/2017","424","20530.28","744756","shirt"
"10/29/2017","1024","306161.66","1911576","shirt"
"5/14/2017","995","38469.52","1776605","shirt"
"6/28/2017","693","201108.44","1298237","shirt"
"2/1/2017","741","247435.1","1396419","shirt"
"2/12/2017","1533","607875.78","2941937","shirt"
"5/30/2017","425","12315.33","765625","shirt"
"4/12/2017","691","32975.82","1249339","shirt"
"12/5/2017","470","68280.62","857430","shirt"
"8/5/2017","671","155447.76","1195989","shirt"
"12/4/2017","415","48283.27","749785","shirt"
"10/26/2017","491","130835.49","937109","shirt"
"4/7/2017","600","19294.25","1091600","shirt"
"3/7/2017","430","25792.96","768160","shirt"
"1/25/2017","1492","856534.29","2998398","shirt"
"5/24/2017","526","20843.57","946254","shirt"
"10/23/2017","456","131511.72","874694","shirt"
"8/1/2017","228","30237.93","391552","shirt"
"9/11/2017","242","50791.13","440458","shirt"
"8/29/2017","304","15679.75","546696","shirt"
"4/8/2017","1147","53024.86","2057213","shirt"
"3/5/2017","899","55274.42","1606591","shirt"
"10/30/2017","449","127798.86","860201","shirt"
"4/19/2017","621","21583.8","1122209","shirt"
"8/4/2017","290","83940.61","523670","shirt"
"12/24/2017","4516","3684224.69","8925214","shirt"
"11/16/2017","475","54832.87","887425","shirt"
"5/12/2017","537","13213.09","962193","shirt"
"9/30/2017","1007","295897.07","1874583","shirt"
"12/27/2017","689","369439.35","1338061","shirt"
"4/20/2017","623","27947.02","1118037","shirt"
"1/28/2017","1472","631077.7","2844038","shirt"
"6/20/2017","659","172182.57","1228571","shirt"
"8/7/2017","363","79560.33","644567","shirt"
"6/29/2017","777","210343.69","1438573","shirt"
"3/2/2017","470","14329.93","834810","shirt"
"3/27/2017","438","19038.32","792422","shirt"
"9/13/2017","355","73395.64","652825","shirt"
"4/23/2017","1182","63594.58","2135218","shirt"
"10/25/2017","462","121192.03","860638","shirt"
"1/4/2017","741","253144.93","1450709","shirt"
"5/5/2017","713","27047.43","1311917","shirt"
"2/4/2017","1030","424787.48","2007600","shirt"
"3/6/2017","376","15339.49","666514","shirt"
"4/6/2017","518","20231.81","936082","shirt"
"10/2/2017","918","273204.21","1705462","shirt"
"1/29/2017","1799","905160.57","3535031","shirt"
"4/11/2017","568","30248.86","1022862","shirt"
"9/7/2017","364","53697.24","661866","shirt"
"5/9/2017","547","18277.33","990343","shirt"
"4/18/2017","628","33137.36","1125652","shirt"
"10/4/2017","447","123532.64","844753","shirt"
"8/28/2017","347","15238","621553","shirt"
"10/9/2017","636","194040.71","1215614","shirt"
"10/5/2017","537","161754.82","1027713","shirt"
"8/20/2017","531","28033.14","932119","shirt"
"5/16/2017","467","11217.95","845683","shirt"
"4/25/2017","539","22933.79","977361","shirt"
"7/6/2017","478","236569.24","898352","shirt"
"5/3/2017","660","36421.24","1195470","shirt"
"7/25/2017","594","404202.2","1126036","shirt"
"8/9/2017","271","4942.55","478829","shirt"
"1/3/2017","715","215677.62","1379595","shirt"
"11/1/2017","411","15106.21","777489","shirt"
"12/12/2017","353","33805.12","649697","shirt"
"3/20/2017","393","45785.89","708687","shirt"
"9/16/2017","666","183776.5","1218924","shirt"
"5/26/2017","581","81547.95","1041669","shirt"
"3/14/2017","454","45415.75","819146","shirt"
"6/13/2017","2988","1427033.2","5576112","shirt"
"12/18/2017","3244","2809931.6","6431806","shirt"
"12/25/2017","3762","3159174.19","7485888","shirt"
"10/17/2017","1749","511098.09","3314311","shirt"
"3/25/2017","961","108677.42","1734479","shirt"
"7/21/2017","859","640124.23","1645621","shirt"
"6/16/2017","571","139212.54","1048309","shirt"
"6/9/2017","3949","2161423.05","7316451","shirt"
"6/15/2017","2053","962923.28","3818437","shirt"
"5/10/2017","670","22029.14","1194010","shirt"
"11/25/2017","828","117124.97","1531102","shirt"
"4/17/2017","586","27811.36","1052444","shirt"
"3/15/2017","468","45589.1","837282","shirt"
"3/28/2017","554","14232.12","1008546","shirt"
"11/26/2017","911","132552.55","1659489","shirt"
"7/26/2017","527","345103.48","1000243","shirt"
"8/12/2017","519","20054.61","902741","shirt"
"8/11/2017","255","5949.08","445175","shirt"
"8/13/2017","584","31492.05","1019346","shirt"
"1/13/2017","1290","410844.55","2525290","shirt"
"6/8/2017","347","14281.88","617733","shirt"
"9/1/2017","482","12300.66","876498","shirt"
"12/7/2017","494","58307.18","896376","shirt"
"12/28/2017","743","397674.77","1444357","shirt"
"2/8/2017","714","273925.87","1368846","shirt"
"12/16/2017","577","81261.2","1056783","shirt"
"2/21/2017","317","12391.49","562933","shirt"
"9/12/2017","332","61060.37","609368","shirt"
"11/21/2017","588","77171.25","1093862","shirt"
"2/27/2017","345","16845.48","613605","shirt"
"6/19/2017","636","146476","1174864","shirt"
"8/3/2017","372","108947.27","681178","shirt"
"8/6/2017","852","245621.83","1567558","shirt"
"12/20/2017","1807","1466825.41","3579293","shirt"
"7/8/2017","1086","517864.88","2024714","shirt"
"10/18/2017","1598","470478.27","3028192","shirt"
"11/13/2017","390","52558.36","724210","shirt"
"2/9/2017","602","231224.39","1148728","shirt"
"7/4/2017","565","269824.52","1042275","shirt"
"8/8/2017","251","8232.81","429299","shirt"
"7/31/2017","718","462005.71","1364042","shirt"
"9/24/2017","1167","352157.47","2159663","shirt"
"6/27/2017","564","168938.13","1041686","shirt"
"10/28/2017","782","219604.74","1478548","shirt"
"9/20/2017","335","82599.34","615995","shirt"
"2/13/2017","588","149171.31","1090242","shirt"
"3/30/2017","455","13078.94","821305","shirt"
"1/9/2017","808","268806.31","1574952","shirt"
"11/12/2017","1008","131323.55","1892592","shirt"
"11/3/2017","390","13227.08","714810","shirt"
"9/4/2017","409","16719.24","736091","shirt"
"7/28/2017","688","422497.46","1295272","shirt"
"1/2/2017","794","236499.24","1556406","shirt"
"1/7/2017","1439","680277.77","2843791","shirt"
"4/9/2017","1285","66093.13","2324385","shirt"
"9/8/2017","360","64309.11","659770","shirt"
"4/29/2017","1089","70315.73","1966521","shirt"
"11/6/2017","348","11767.47","653852","shirt"
"10/16/2017","1338","411099.16","2559412","shirt"
"5/21/2017","983","28790.24","1772867","shirt"
"11/8/2017","408","37251.76","762842","shirt"
"8/24/2017","370","11160.72","661030","shirt"
"11/2/2017","352","7485.8","646148","shirt"
"3/23/2017","438","42981.77","779192","shirt"
"5/2/2017","640","42282.7","1156860","shirt"
"4/26/2017","716","39438.69","1285114","shirt"
"12/15/2017","373","45916.68","695327","shirt"
"3/1/2017","447","19828.6","790833","shirt"
"2/17/2017","436","144838.05","830344","shirt"
"8/10/2017","310","6834.57","536390","shirt"
"1/11/2017","813","247733.38","1584557","shirt"
"5/27/2017","911","136382.38","1632849","shirt"
"7/18/2017","530","335867.21","991560","shirt"
"8/21/2017","263","13922.79","464937","shirt"
"10/7/2017","965","292644.45","1815235","shirt"
"8/17/2017","243","9688.12","423507","shirt"
"5/19/2017","517","15166.1","929283","shirt"
"5/20/2017","800","27149.65","1445000","shirt"
"4/16/2017","1279","63219.95","2326721","shirt"
"1/22/2017","2721","1533124.58","5440549","shirt"
"4/22/2017","1142","63984.85","2043728","shirt"
"5/1/2017","881","57628.07","1580649","shirt"
"3/18/2017","747","82209.93","1340033","shirt"
"1/26/2017","3210","1853677.83","6389210","shirt"
"4/27/2017","686","33804.31","1227264","shirt"
"3/19/2017","1128","147212.01","2047472","shirt"
"9/29/2017","776","221953.41","1452524","shirt"
"10/31/2017","511","136430.65","971689","shirt"
"2/10/2017","698","256462.21","1339792","shirt"
"7/29/2017","1128","715624.72","2138302","shirt"
"3/17/2017","399","38744.95","720631","shirt"
"4/4/2017","557","13919.72","1000543","shirt"
"10/11/2017","626","185336.28","1181404","shirt"
"9/22/2017","416","108899.91","759884","shirt"
"12/1/2017","504","56199.26","918696","shirt"
"10/12/2017","664","193243.04","1252636","shirt"
"8/16/2017","255","13761.57","446945","shirt"
"10/27/2017","535","149729.53","1023815","shirt"
"1/19/2017","710","230728.73","1392670","shirt"
"4/24/2017","559","27601.57","1007691","shirt"
"1/8/2017","2171","1033425.1","4279199","shirt"
"5/22/2017","498","21995.98","888962","shirt"
"10/8/2017","1526","494790.75","2881524","shirt"
"8/31/2017","484","26008.94","870946","shirt"
"10/10/2017","526","146218.34","1003274","shirt"
"3/3/2017","456","22981.57","802494","shirt"
"11/19/2017","1140","165315.75","2120990","shirt"
"11/15/2017","449","63569.34","841781","shirt"
"11/11/2017","900","111259.08","1685200","shirt"
"5/7/2017","1074","39082.36","1940936","shirt"
"5/15/2017","488","8110.01","864442","shirt"
"1/30/2017","701","281048.35","1347429","shirt"
"5/23/2017","435","19818.43","774565","shirt"
"12/8/2017","469","59566.6","852461","shirt"
"4/21/2017","625","26255.69","1114275","shirt"
"4/13/2017","730","39990","1345270","shirt"
"9/9/2017","634","136223.91","1144216","shirt"
"12/10/2017","738","107953.85","1333912","shirt"
"9/15/2017","356","84164.65","644544","shirt"
"4/3/2017","418","20489.57","751412","shirt"
"6/7/2017","412","18606.37","735578","shirt"
"6/17/2017","1173","289356.48","2168137","shirt"
"12/22/2017","2280","1864821.13","4508550","shirt"
"7/15/2017","1755","1309536.74","3356295","shirt"
"10/14/2017","1676","535274.05","3166094","shirt"
"7/30/2017","1954","1395448.63","3743286","shirt"
"7/22/2017","1394","1011909.91","2659226","shirt"
"7/27/2017","621","418620.74","1168559","shirt"
"1/16/2017","794","215290.24","1561136","shirt"
"3/11/2017","804","74771.7","1450136","shirt"
"12/14/2017","362","52999.41","661338","shirt"
"6/12/2017","2287","1061520.87","4260023","shirt"
"7/7/2017","582","263754.33","1078438","shirt"
"5/11/2017","535","14688.28","960315","shirt"
"4/28/2017","724","48307.31","1307636","shirt"
"10/20/2017","983","285468.13","1861617","shirt"
"3/22/2017","503","47186.86","901947","shirt"
"10/3/2017","422","118697.91","796378","shirt"
"3/9/2017","450","21686.55","801910","shirt"
"6/5/2017","431","18735.41","762699","shirt"
"11/14/2017","462","61503.63","850668","shirt"
"2/24/2017","488","18893.61","878962","shirt"
"9/5/2017","341","46480.23","628159","shirt"
"6/24/2017","2451","1071888.88","4626059","shirt"
"6/25/2017","3150","1437663.07","5935870","shirt"
"7/13/2017","657","431179.48","1236743","shirt"
"6/21/2017","730","222895.38","1351850","shirt"
"7/17/2017","540","358825.91","1029640","shirt"
"9/17/2017","912","246337.74","1656148","shirt"
"9/10/2017","777","180190.4","1428823","shirt"
"1/23/2017","1167","664683.54","2322083","shirt"
"12/2/2017","917","124148.35","1673333","shirt"
"1/31/2017","806","352741.78","1575734","shirt"
"7/24/2017","562","384922.99","1075738","shirt"
"6/30/2017","828","330585.29","1548002","shirt"
"4/10/2017","581","33220.07","1047669","shirt"
"7/14/2017","1150","825645.82","2159941","shirt"
"12/9/2017","789","110159.89","1430641","shirt"
"2/16/2017","468","117477.77","864012","shirt"
"2/14/2017","579","126929.31","1070751","shirt"
"11/30/2017","539","77307.19","978361","shirt"
"7/5/2017","486","212377.99","902844","shirt"
"10/21/2017","1050","304929.09","1986950","shirt"
"9/23/2017","875","249713.07","1616755","shirt"
"12/17/2017","642","94065.17","1177438","shirt"
"9/3/2017","799","49881.17","1450551","shirt"
"3/21/2017","481","44297.42","858699","shirt"
"11/20/2017","508","70806.33","949022","shirt"
"12/26/2017","642","349317.55","1249358","shirt"
"10/6/2017","456","125844.12","855024","shirt"
"11/28/2017","544","85212.15","978756","shirt"
"2/6/2017","499","142809.89","929751","shirt"
"6/26/2017","2143","998120.65","4036717","shirt"
"11/24/2017","624","76298.79","1157206","shirt"
"11/18/2017","826","90400.25","1539354","shirt"
"2/5/2017","1387","517516.63","2670703","shirt"
"1/17/2017","776","302777.46","1532434","shirt"
"7/16/2017","3226","2501615.85","6200204","shirt"
"12/19/2017","2286","1932878.75","4533694","shirt"
"4/1/2017","813","19807.82","1470997","shirt"
"9/14/2017","342","75373.79","634558","shirt"
"1/18/2017","722","258508.06","1406748","shirt"
"10/15/2017","2577","803038.27","4865813","shirt"
"4/15/2017","1243","63623.33","2229567","shirt"
"4/5/2017","487","10538.14","877773","shirt"
"8/27/2017","585","30716.58","1037215","shirt"
"9/2/2017","805","36963.59","1461775","shirt"
"8/25/2017","414","16582.38","731886","shirt"
"3/4/2017","703","32928.12","1265147","shirt"
"6/6/2017","432","17043.95","774848","shirt"
"12/29/2017","787","439863","1543863","shirt"
"11/10/2017","433","38979.71","807967","shirt"
"3/10/2017","407","24888.67","748493","shirt"
"8/18/2017","354","23920.27","595626","shirt"
"5/4/2017","609","31310.06","1096771","shirt"
"1/14/2017","1807","545232.49","3546313","shirt"
"4/2/2017","1032","35166.85","1854288","shirt"
"6/10/2017","5492","2926720.66","10160658","shirt"
"5/6/2017","919","32182.95","1633381","shirt"
"11/9/2017","439","40600.8","820611","shirt"
"4/30/2017","1242","90965.64","2250318","shirt"
"2/15/2017","463","137132.24","873237","shirt"
"3/26/2017","1319","169971.68","2374551","shirt"
"1/1/2017","1507","472794.5","2960603","shirt"
"9/25/2017","496","138369.67","920904","shirt"
"12/11/2017","352","41151.64","635998","shirt"
"3/29/2017","555","14720.09","1010195","shirt"
"12/30/2017","1105","623961.46","2175875","shirt"
"1/21/2017","2418","1454937.41","4858572","shirt"
"7/19/2017","585","373867.24","1116735","shirt"
"6/3/2017","766","25959.76","1368694","shirt"
"8/2/2017","386","116541.87","701754","shirt"
"5/13/2017","929","29683.88","1665371","shirt"
"11/5/2017","829","28981.48","1549971","shirt"
"1/5/2017","740","223037.03","1457490","shirt"
"11/4/2017","659","26319.87","1226441","shirt"
"1/6/2017","833","358761.36","1631247","shirt"
"1/15/2017","1942","646652.13","3839168","shirt"
"2/22/2017","346","26175.11","632354","shirt"
"9/28/2017","626","185367.56","1174604","shirt"
"1/12/2017","1151","386836.49","2267249","shirt"
"6/4/2017","854","36024.57","1508726","shirt"
"11/22/2017","613","81507.59","1132717","shirt"
"2/23/2017","352","19665.87","623238","shirt"
"2/18/2017","732","211394.52","1380528","shirt"
"8/14/2017","369","18395.88","647481","shirt"
"2/19/2017","906","280669.06","1686904","shirt"
"11/17/2017","519","56413.4","965381","shirt"
"6/11/2017","6318","3040164.54","11727112","shirt"
"3/13/2017","338","35971.71","609862","shirt"
"8/15/2017","531","34358.88","912949","shirt"
"8/30/2017","409","20989.79","736341","shirt"
"10/19/2017","952","271255.29","1823248","shirt"
"11/23/2017","608","86305.68","1135792","shirt"
"6/14/2017","4019","2053805.38","7534821","shirt"
"7/11/2017","449","204255.08","830881","shirt"
"2/2/2017","678","277212.24","1329172","shirt"
"11/29/2017","500","71769.76","902130","shirt"
"7/23/2017","1505","1078176.82","2879625","shirt"
"8/23/2017","294","22316.98","531106","shirt"
"12/21/2017","2471","2032645.6","4896879","shirt"
"5/29/2017","478","15800.72","850472","shirt"
"1/20/2017","1774","1151980.98","3551636","shirt"
"6/2/2017","530","21704.06","954300","shirt"
"5/25/2017","513","22017.65","917727","shirt"
"11/27/2017","579","88316.27","1036281","shirt"
"5/31/2017","505","25049.47","905405","shirt"
"7/2/2017","1313","633141.27","2430767","shirt"
"10/24/2017","445","122811.05","832085","shirt"
"3/12/2017","975","117604.25","1748225","shirt"
"10/22/2017","888","266811.15","1674812","shirt"
"6/23/2017","694","195539.98","1306216","shirt"
"6/1/2017","471","20355.19","843629","shirt"
"7/9/2017","1191","604899.77","2227669","shirt"
"12/13/2017","380","53207.08","700920","shirt"
"3/24/2017","465","42573.31","843215","shirt"
"8/26/2017","551","30383.74","980799","shirt"
"3/16/2017","407","38785.52","723073","shirt"
"2/11/2017","1270","502094.51","2431920","shirt"
"7/3/2017","542","260729.54","1016008","shirt"
"2/7/2017","584","219770.18","1134116","shirt"
"2/28/2017","430","17961.39","778450","shirt"
"2/3/2017","705","299174.62","1366075","shirt"
"5/8/2017","531","21791.92","951149","shirt"
"7/10/2017","402","170225.62","743798","shirt"
"3/8/2017","415","24602.62","732365","shirt"
"2/20/2017","312","5899.46","548948","shirt"
"10/13/2017","797","237552.78","1497133","shirt"
"9/18/2017","323","79178.49","592427","shirt"
"5/18/2017","459","12919.27","826651","shirt"
"11/7/2017","420","7792.05","784080","shirt"
"9/26/2017","531","148003.72","982169","shirt"
"10/1/2017","1141","345273.7","2122689","shirt"
"1/24/2017","1013","487470.75","2010007","shirt"
